name,lat,lng,,,,,
Torre Castel de Montjuic,41.3633887,2.165950842,,,,,
Museu Militar,41.36454096,2.166603372,,,,,
Museu D'autÃ_mats Del Tibidabo,41.42191669,2.119659775,,,,,
Gakuto no heya,41.44200255,2.189809084,,,,,
Museu Gaudi Sagrada Familia,41.40424715,2.170768273,,,,,
"Habitatge 1/11, Casa Bloc",41.44167,2.190529,,,,,
SEAT Cotxes HistÃ_rics,41.33739258,2.132430249,,,,,
ColÂ·lecciÃ_ de Carrosses FÃºnebres,41.35321577,2.156517506,,,,,
Mirador Collserolla,41.43047832,2.12978861,,,,,
Mirador de SarriÃ¡,41.40563665,2.110074721,,,,,
Observatori Fabra,41.41861048,2.123897021,,,,,
Mirador MarÃ_a Gispert,41.44215167,2.129716873,,,,,
Mirador de La Carretera de les AigÃ_es,41.40591943,2.109868665,,,,,
Passatge MallofrÃ©,41.39841604,2.121605791,,,,,
Passeig De Miramar,41.37117284,2.171902657,,,,,
Bunker del Carmel,41.419357,2.161688,,,,,
Mirador de La Raba,41.43149676,2.131097424,,,,,
CÃºpula Las Arenas,41.37613927,2.149424832,,,,,
TurÃ_ De La Rovira,41.4192802,2.161767197,,,,,
Mirador de Montbau,41.44493375,2.14752557,,,,,
Mirador d'Horta,41.44168427,2.152321841,,,,,
Mirador De L'Arrabassada,41.43149676,2.131174133,,,,,
les Tres Creus in Park GÃ_ell,41.41329049,2.152729548,,,,,
Mirador dels bombers,41.4158394,2.114881369,,,,,
Turo De La Magarola,41.44215809,2.129769434,,,,,
Cami Vallvidrera,41.40810589,2.116386249,,,,,
MNAC Stairs,41.36891277,2.153352499,,,,,
Terrassa Mirablau,41.416104,2.131099,,,,,
Museu Palmero,41.42450714,2.139928102,,,,,
Banco nÂ°4 del Pg de la Vall d'Hebron,41.4338997,2.146192297,,,,,
Torre vigilÃ ncia Santa Creu D'Olorda,41.41442153,2.057920096,,,,,
El Link y la Madre,41.40718079,2.168623924,,,,,
Mirador IM,41.421466,2.132798,,,,,
Mirador gym,41.3980826,2.1042785,,,,,
Mirador vallvidrera,41.40378076,2.116657708,,,,,
Statue Of Jesus Christ ( Top Of The World ),41.42180484,2.118888102,,,,,
Ascensor PanorÃ mic de Vallvidrera,41.41343585,2.10448279,,,,,
Mirador De Torre BarÃ_,41.44883341,2.159493222,,,,,
ï…¿ MNAC,41.36896754,2.152950191,,,,,
_Ÿ_°Ñ€_º _“ÑƒÑç_»ÑŒ. _¡____Ñ‚Ñ€_____°Ñè _¿_»__Ñ‰_°_´_º_°,41.414194,2.154686592,,,,,
Museu de CiÃ¨ncies Naturals,41.41061425,2.22002,,,,,
Institut BotÃ nic De Barcelona,41.36350479,2.166776102,,,,,
Museu Grifols,41.40955138,2.133523386,,,,,
Centro Interactivo del Pescado,41.33512485,2.113859653,,,,,
Font de Canaletes,41.38527533,2.170117646,,,,,
Castillo Torre BarÃ_,41.45138157,2.176306844,,,,,
Les Quatre Columnes,41.37077905,2.152182742,,,,,
Nou Barris.,41.43155377,2.175624613,,,,,
Els Mistos,41.42980769,2.150710237,,,,,
PlaÃ§a de l'Art Nouveau BarcelonÃ¨s,41.42017094,2.141233637,,,,,
MausolÃ©e,41.43689043,2.181590181,,,,,
Meadero,41.39379501,2.192639589,,,,,
